task_language;rider_ml_message
"""es""";"""Buenas tardes el conductor se fue sin mi y llevo a otra pasajera y le hablé por llamada me dijo que esa pasajera era la correcta pero a mí me salía como q ya inicie el viaje, la verdad no me parece justo que hagan esto"""
"""es""";"""Quisiera saber cómo puedo eliminar el método de pago Yape en mi aplicativo"""
"""ru""";"""Здравствуйте, пожалуйста исправьте порядок подъездов."""
"""en""";"""Hi,,this yango driver did not end the ride after reaching my destination. Hence i was charged extra distance of k54 and waiting time k31. Kindly check and refund"""
"""ru""";"""Здравствуйте, пожалуйста, отмените списание, водитель утверждает, что система не дала ему возможности отменить заказ, так что он, передумав, просто его завершил. Справедливости ради, когда я ему позвонила, он попросил номер карты, чтобы вернуть деньги, но я посреди улицы под солнцем не стала возиться с номером"""
"""ka""";"""მადლობა"""
"""en""";"""halloi'm trying to download the app on my iphone.on the installing phase the system asks me the password of my mail account    robertogobita@hotmail.com       why?can't i use a dedicated password?thanks for your answerroberto gobita[created via e-mail received from: robertogobita@hotmail.com]"""
"""en""";"""I booked comfort but drive is not turning on AC"""
"""en""";"""hello"""
"""ru""";"""Здравствуйте, попался неадекватный таксист, приехал не туда, начал раньше бесплатное ожидание, я просто сказала, что он приехал не туда и спросила, почему начал бесплатное ожидание, уже подходила к машине (разговор был по телефону) и по итогу он сказал, что не повезёт меня, на вопросы почему не ответил"""
"""ru""";"""Здравствуйте, поступают разные звонки от ваших водителей якобы я заказывал такси, что не так?"""
"""tr""";"""Merhabalar iade gerçekleşmesi, para çekildi gözüküyor"""
"""en""";"""The driver didn’t pick me up and just ended the ride and my money is also deducted there was some glitch i need my refund"""
"""ru""";"""Здравствуйте, потирал паспорт на имя довудов Абдурауф"""
"""uz""";"""Men bu taksiga minmadim"""
"""az""";"""Taksist getmekden imtina etdi Pulun qaytarilmasini xahiw edirem"""
"""ru""";"""Здравствуйте, Почему взяли дополнительную плату за данную поездку? Здравствуйте, Почему взяли дополнительную плату за данную поездку?"""
"""es""";"""Hola buena tarde el conductor empezó el viaje sin mí y nunca llegó al lugar a recogerme"""
"""uz""";"""Demak pul tawab beriladimi"""
"""hy""";"""Բարեվ ձեզ սեվանի փողոցից րաֆֆի 111 1500 դրամեր կազմել բաից 1 կմ հետո մեքենաի հետ խնդիր առաջացավ զավերշիտ արեց 700 դրամ ցույց տվեց բաից իմ մոտից 1500 դրամա քաշել կասեք խիա տենց լինում?"""
"""es""";"""Hola Disculpe me quiero comunicar con el taxista Para ver si dejé mis llaves en la parte de atrás"""
"""ru""";"""Здравствуйте, почему вы берете на работу аферистов, мошеников ?"""
"""es""";"""Tipo de Servicio:: Viajes  Identificación del consumidor reclamante:: Persona Natural  Nombre:: Michella Consoli  Domicilio:: Jirón philipp von Leonard   Tipo de Documento de Identidad:: DNI  Número de Documento: 70319978  Teléfono: 994650225  Correo Electrónico: Michella.vcs4@gmail.com  ¿Eres mayor de edad?: Si  Tipo de solicitud:: Reclamo (Disconformidad relacionada con los productos o servicios)  Monto reclamado: 10.00   Detalle del Producto o Servicio: Viaje de Miraflores a San Borja  Detalle de la Reclamación o Queja: Se realizó el cobro con Yape durante el viaje, el conductor dijo que tenía que pagarle un monto adicional a él , al indicarle que ya había pagado con Yape me bajo del vehículo habiendo avanzado solo 4 cuadras.   Fecha de Envío: 1995-04-02"""
